人謀不臧,事情的失敗，是由於人策畫不周全所致。
三人成虎,言之者眾則訛傳亦可成真。
小姑獨處,女子尚未出嫁。
口耳之學,無實學也。
山高水長,喻人品節操之高潔。
三緘其口,言行謹慎，從不妄言。
上下其手,玩法舞弊者，故意顛倒是非輕重。
下里巴人,俚俗的歌謠。
不分皂白,黑白不分，是非不明。
不欺暗室,別人看不見也不做壞事。
不愧屋漏,即在無人之處，亦秉性端正。
文不加點,揮筆立就不加改易。
夭矯不群,氣宇軒昂，風度出眾。
予取予求,喻人貪得無饜，索取非分財物。
牛衣對泣,夫妻生活貧窮而相對哭泣。
方興未艾,正當興盛而尚未中止。
戶限為穿,形容進出的人很多。
心勞日拙,徒勞心術，無補於事。
玉石俱焚,善惡同受害也。
外圓內方,表面圓滑而內心方正之人。
市井之徒,下層社會中知識淺薄之人。
瓦釜雷鳴,喻小人在位。
代為說項,為人說好話，替人求情。
白璧微瑕,喻君子有微小過失。
目無全牛,技藝高超。
米珠薪桂,物價暴漲，人民生活困苦。
色厲內荏,表面強硬，內心怯儒。
如數家珍,敘述某事極為詳細。
吉光片羽,殘餘之文藝珍品。
行將就木,喻人死期已近。
如蟻附羶,喻附之者眾。
江河日下,日漸衰敗。
守株待兔,喻做事固執不知變通。
因噎廢食,喻因小事而廢棄了大事。
汗牛充棟,書籍甚多。
投桃報李,互相賜贈，互相報答。
投閒置散,言被置於不重要的地位。
見獵心喜,見到自己喜愛的事，便想去做。
忘年之交,交友不必顧忌對方之年齡。
知命之年,指五十歲而言。
含英咀華,言讀書汲取精華。
坐懷不亂,喻人能自持，不好女色。
初生之犢,初生之牛，不怕危險。
沆瀣一氣,志同道合。
身無長物,喻人窮困至極。
阮囊羞澀,形容囊中困乏。
身懷六甲,婦女懷孕。
兔死狐悲,同類遭遇不幸，自己感到悲傷也自覺危險。
杯水車薪,喻力量小無濟於事。
東床坦腹,稱他人的佳婿。
東道主人,稱地主或宴客之主也。
抱薪救火,做事不得其法，欲救之反害之。
尾大不掉,喻上弱而下強，不能加以統制。
虎尾春冰,極言其危懼之狀。
長袖善舞,喻在社交上善於應付的人。
炙手可熱,喻權力大，氣焰極盛。
居心叵測,存心險惡，很難預料其陰謀。
枕流漱石,隱居山林。
南轅北轍,喻行動與思想背道而馳。
風行草偃,為政者以仁德教化人民，人民因而被感化而服從。
面面相覷,吃驚之狀。
柳眉倒豎,女子發怒之狀。
拾人牙慧,譏刺襲用別人言論者。
重作馮婦,一個人改行後，又重新擔任以前的工作。
食言而肥,指不守信約。
柔茹剛吐,欺軟怕硬。
美輪美奐,建築物高大而華美。
春秋鼎盛,年富力強之時。
食指浩繁,家中消費者多。
胸無城府,性情豪爽，無心機。
捉襟見肘,喻能力有限而窮於應付之狀。
泰山泰水,指岳父母。
酒囊飯袋,譏人無用，只知吃喝玩樂。
泰阿倒持,授人以權而反受其害。
匪夷所思,不是平素所能料想得到的。
破釜沉舟,做事勇敢果決。
席不暇煖,甚為忙碌之狀。
韋編三絕,喻讀書之勤。
倚馬可待,喻文思敏捷，寫作迅速。
移樽就教,屈尊以求救於人。
推波助瀾,從旁加油添醋，使事態更加嚴重。
雀屏中選,獲選為婿。
通權達變,懂得靈活變通。
涸轍之鮒,比喻境遇非常窮困的人。
掠人之美,竊取別人的美名或成績。
黃鐘毀棄,有才而正直之人，卻不為當權者重用。
深藏若虛,有才學的人謙虛而不炫耀。
惜墨如金,不輕易下筆。
虛與委蛇,假意與人周旋。
連篇累牘,文章冗長。
陽春白雪,指格調高妙的音樂或詩文。
琴瑟不調,夫妻反目。
斯文掃地,文人自甘墮落。
跋前躓後,進退兩難。
詠絮之才,讚美具有文才的女子。
向壁虛造,憑空杜撰。
無的放矢,毫無根據，憑空攻訐別人。
引鴆止渴,喻只貪目前小利而不顧大患。
焚膏繼晷,夜以繼日，努力不懈。
傾國傾城,形容女子的美貌，能使全國的人傾服。
愛惜羽毛,潔身自好，愛惜名譽。
屢試不爽,每試不差。
腹笥便便,學問淵博。
觥籌交錯,形容宴飲盡歡，酒杯和酒籌相錯亂。
椿萱並茂,父母仍健在。
蜀犬吠日,少見多怪。
矮人看戲,隨聲附和，毫無己見。
禍起蕭牆,禍患起於內部。
銜環結草,受人恩惠，必將圖報。
蒲柳之姿,體質虛弱。
監守自盜,負責看守的人，竊取自己所看守的財物。
魯魚亥豕,文字因形似而傳寫訛誤。
膠柱鼓瑟,喻拘泥不知變通。
駟不及舌,勸誡人說話謹慎，不可隨便。
劍拔弩張,戰事一觸即發。
噤若寒蟬,喻人閉口不敢言。
諱疾忌醫,喻隱瞞缺失，不願聽聞別人規勸。
錙銖必較,吝嗇之人，對極微小的數目也要計較。
醍醐灌頂,喻以智慧輸入人心。
蠅營狗苟,卑鄙無恥到處鑽營。
謠諑紛紜,含有中傷性的謠言極其眾多。
薪火相傳,喻師徒互相傳授，世代不絕。
擢髮難數,形容一個人的罪惡多到數也數不清。
螳臂當車,譏人不自量力。
鎩羽而歸,失敗歸來。
鞭辟入裡,分析問題深刻透澈。
舉案齊眉,夫妻相敬如賓。
鐘鳴鼎食,形容富貴人家的奢華盛況。
疊床架屋,喻事重複、多餘。
鱗次櫛比,形容房屋稠密，排列整齊。
